Reference,Fam_Spp,Species,Family ,Genus,TL,RealEgg,Egg,Marker,KM,LogKM,BGB,FST,No_zero_Fst,Rous
115,Blenniidae_Lipophrys_pholis,Lipophrys_pholis,Blennidae,Lipophrys,30,demersal,demersal,mtDNA,541,3,0,0,0,0.01010101
136,Blenniidae_Ophioblennius_atlanticus,Ophioblennius_atlanticus,Blennidae,Ophioblennius,19,demersal,demersal,mtDNA_RFLPs,3140,3,0,0.003,0.003,0.013171226
139,Blenniidae_Ophioblennius_steindachneri,Ophioblennius_steindachneri,Blennidae,Ophioblennius,19,demersal,demersal,mtDNA,483,3,1,0,0,0.01010101
170,Caesionidae_Pterocaesio_chrysozona,Pterocaesio_chrysozona,Caesionidae,Pterocaesio,21,pelagic,pelagic,allozymes,929,3,0,0.002,0.002,0.012145749
26,Chaenopsidae_Chaenopsis_alepidota,Chaenopsis_alepidota,Chaenopsidae,Chaenopsis,15,demersal,demersal,mtDNA,2175,3,1,0.67,0.67,2.125
27,Chaetodontidae_Chaetodon_citrinellus,Chaetodon_citrinellus,Chaetodontidae,Chaetodon,13,pelagic,pelagic,allozymes,989,3,0,0.011,0.011,0.02145046
28,Chaetodontidae_Chaetodon_quadrimaculatus,Chaetodon_quadrimaculatus,Chaetodontidae,Chaetodon,16,pelagic,pelagic,mtDNA,1107,3,0,0.016,0.016,0.026694045
72,Chaetodontidae_Forcipiger_flavissimus,Forcipiger_flavissimus,Chaetodontidae,Forcipiger,22,pelagic,pelagic,mtDNA,5105,4,1,-0.038,0,0.01010101
133,Cheilodactylidae_Nemadactylus_macropterus,Nemadactylus_macropterus,Cheilodactylidae,Nemadactylus,70,pelagic,pelagic,allozymes,5224,4,0,0.006,0.006,0.016260163
45,Cirrhitidae_Cirrhitichthys_oxycephalus,Cirrhitichthys_oxycephalus,Cirrhitidae,Cirrhitichthys,10,pelagic,pelagic,mtDNA,8871,4,1,0.707,0.707,2.533568905
76,Clinidae_Gibbonsia_elegans,Gibbonsia_elegans,Clinidae,Gibbonsia,16,demersal,demersal,allozymes,780,3,0,0.13,0.13,0.162790698
77,Clinidae_Gibbonsia_metzi,Gibbonsia_metzi,Clinidae,Gibbonsia,24,demersal,demersal,allozymes,758,3,0,0.01,0.01,0.020408163
78,Clinidae_Gibbonsia_montereyensis,Gibbonsia_montereyensis,Clinidae,Gibbonsia,11,demersal,demersal,allozymes,774,3,0,0.15,0.15,0.19047619
104,Clinidae_Heterostichus_rostratus,Heterostichus_rostratus,Clinidae,Heterostichus,61,demersal,demersal,allozymes,484,3,0,0.07,0.07,0.086956522
59,Diodontidae_Diodon_holocanthus,Diodon_holocanthus,Diodontidae,Diodon,50,pelagic,pelagic,mtDNA,5089,4,1,0.441,0.441,0.821493625
63,SerrEpin_Epinephelus_labriformis,Epinephelus_labriformis,SerrEpin,Epinephelus,60,pelagic,pelagic,mtDNA,4281,4,0,0.207,0.207,0.277139208
68,SerrEpin_Epinephelus_marginatus,Epinephelus_marginatus,SerrEpin,Epinephelus,150,pelagic,pelagic,mtDNA,5247,4,1,0.199,0.199,0.264222503
64,SerrEpin_Epinephelus_morio,Epinephelus_morio,SerrEpin,Epinephelus,125,pelagic,pelagic,microsatellites,2204,3,0,0,0,0.01010101
53,Gobiidae_Ctenogobiops_feroculus,Ctenogobiops_feroculus,Gobiidae,Ctenogobiops,11,demersal,demersal,mtDNA,10185,4,0,0.67,0.67,2.125
61,Gobiidae_Elacatinus_evelynae,Elacatinus_evelynae,Gobiidae,Elacatinus,4,demersal,demersal,mtDNA,2768,3,1,0.786,0.786,3.901960784
86,Gobiidae_Gnatholepis_anjerensis,Gnatholepis_anjerensis,Gobiidae,Gnatholepis,11,demersal,demersal,mtDNA,1226,3,0,0.066,0.066,0.082251082
84,Gobiidae_Gnatholepis_cauerensis,Gnatholepis_cauerensis,Gobiidae,Gnatholepiscauerensis,8,demersal,demersal,mtDNA,2219,3,0,0.016,0.016,0.026694045
87,Gobiidae_Gnatholepis_thompsoni,Gnatholepis_thompsoni,Gobiidae,Gnatholepis,8,demersal,demersal,mtDNA,8518,4,1,0.474,0.474,0.937984496
89,Gobiidae_Gobius_niger,Gobius_niger,Gobiidae,Gobius,8,demersal,demersal,mtDNA_RFLPs,1917,3,0,0.323,0.323,0.499250375
157,Gobiidae_Pomatoschistus_microps,Pomatoschistus_microps,Gobiidae,Pomatoschistus,9,demersal,demersal,mtDNA,5273,4,1,0.437,0.437,0.808318264
159,Gobiidae_Pomatoschistus_minutus,Pomatoschistus_minutus,Gobiidae,Pomatoschistus,11,demersal,demersal,mtDNA,6688,4,1,0.864,0.864,6.936507937
18,Gobiidae_Bathygobius_soporator,Bathygobius_soporator,Gobiidae,Bathygobius,15,demersal,demersal,allozymes,3444,4,1,0.18,0.18,0.234567901
46,Gobiidae_Clevelandia_ios,Clevlandia_ios,Gobiidae,Clevlandia,8,demersal,demersal,mtDNA,791,3,0,0.028,0.028,0.03950104
70,Gobiidae_Eucyclogobius_newberryi,Eucyclogobius_newberryi,Gobiidae,Eucyclogobius,6,demersal,demersal,mtDNA,821,3,0,0.902,0.902,10.36363636
80,Gobiidae_Gillichthys_seta,Gillichthys_seta,Gobiidae,Gillichthys,6,demersal,demersal,mtDNA,2455,3,1,0.19,0.19,0.25
155,Gobiidae_Pomatoschistus_lozanoi,Pomatoschistus_lozanoi,Gobiidae,Pomatoschistus,8,demersal,demersal,allozymes,267,2,0,0.024,0.024,0.035196687
13,Haemulidae_Anisotremus_davidsonii,Anisotremus_davidsonii,Haemulidae,Anisotremus,58,pelagic,pelagic,mtDNA,2532,3,1,0.65,0.65,1.941176471
148,Haemulidae_Plectorhinchus_flavomaculatus,Plectorhinchus_flavomaculatus,Haemulidae,Plectorhinchus,60,pelagic,pelagic,mtDNA,826,3,0,0.148,0.148,0.187648456
94,Haemulidae_Haemulon_flavolineatum,Haemulon_flavolineatum,Haemulidae,Haemulon,30,pelagic,pelagic,microsatellites,2914,3,0,0.003,0.003,0.013171226
107,Holocentridae_Holocentrus_adscensionis,Holocentrus_adscensionis,Holocentridae,Holocentrus,61,pelagic,pelagic,mtDNA,10550,4,1,0.091,0.091,0.112347052
126,Holocentridae_Myripristis_berndti,Myripristis_berntdi,Holocentridae,Myripristis,30,pelagic,pelagic,mtDNA,8848,4,1,0.157,0.157,0.200480192
127,Holocentridae_Myripristis_jacobus,Myripristis_jacobus,Holocentridae,Myripristis,25,pelagic,pelagic,mtDNA,9790,4,1,0.008,0.008,0.018329939
21,Labridae_Calotomus_carolinus,Calotomus_carolinus,Labridae,Calotomus,54,pelagic,pelagic,mtDNA,5405,4,1,0.004,0.004,0.014198783
31,Labridae_Chlorurus_sordidus,Chlorurus_sordidus,Labridae,Chlorurus,40,pelagic,pelagic,mtDNA,16643,4,1,0.606,0.606,1.604166667
44,Labridae_Cirrhilabrus_punctatus,Cirrhilabrus_punctatus,Labridae,Cirrhilabrus,13,pelagic,pelagic,mtDNA,3319,4,0,0.73,0.73,2.846153846
95,Labridae_Halichoeres_bivittatus,Halichoeres_bivattatus,Labridae,Halichoeres,35,pelagic,pelagic,mtDNA_RFLPs,3038,3,0,0.079,0.079,0.097694841
96,Labridae_Halichoeres_cyanocephalus,Halichoeres_cyanocephalus,Labridae,Halichoeres,30,pelagic,pelagic,mtDNA,6498,4,1,0.91,0.91,11.5
97,Labridae_Halichoeres_garnoti,Halichoeres_garnoti,Labridae,Halichoeres,19,pelagic,pelagic,mtDNA,2380,3,0,0,0,0.01010101
101,Labridae_Halichoeres_semicinctus,Halichoeres_semicinctus,Labridae,Halichoeres,38,pelagic,pelagic,mtDNA,1724,3,1,0.01,0.01,0.020408163
109,Labridae_Labroides_dimidiatus,Labroides_dimidiatus,Labridae,Labroides,14,pelagic,pelagic,mtDNA,5301,4,0,0.85,0.85,6.142857143
110,Labridae_Larabicus_quadrilineatus,Larabicus_quadrilineatus,Labridae,Larabicus,12,pelagic,pelagic,mtDNA,1600,3,0,0.01,0.01,0.020408163
134,Labridae_Novaculichthys_taeniourus,Novaculichthys_taeniourus,Labridae,Novaculichthys,30,pelagic,pelagic,mtDNA,8874,4,1,0.163,0.163,0.209189843
172,Scaridae_Scarus_frenatus,Scarus_frenatus,Labridae,Scarus,47,pelagic,pelagic,mtDNA,1201,3,0,0.015,0.015,0.025641026
173,Scaridae_Scarus_rubroviolaceus,Scarus_rubroviolaceus,Labridae,Scarus,70,pelagic,pelagic,mtDNA,8840,4,1,0.125,0.125,0.156069364
183,Labridae_Semicossyphus_pulcher,Semicossyphus_pulcher,Labridae,Semicossyphus,91,pelagic,pelagic,mtDNA,2429,3,1,0,0,0.01010101
196,Labridae_Stethojulis_bandanensis,Stethojulis_bandanensis,Labridae,Stethojulis,15,pelagic,pelagic,mtDNA,8775,4,1,0.286,0.286,0.420454545
200,Labridae_Thalassoma_bifasciatum,Thalassoma_bifasciatum,Labridae,Thalassoma,25,pelagic,pelagic,mtDNA,3038,3,0,-0.012,0,0.01010101
124,Labrisomidae_Malacoctenus_hubbsi,Malacoctenus_hubbsi,Labrisomidae,Malacoctenus,9,demersal,demersal,mtDNA,365,3,1,0.246,0.246,0.344086022
112,Lethrinidae_Lethrinus_miniatus,Lethrinus_miniatus,Lethrinidae,Lethrinus,90,pelagic,pelagic,microsatellites,707,3,0,0.003,0.003,0.013171226
121,Lutjanidae_Lutjanus_campechanus,Lutjanus_campechanus,Lutjanidae,Lutjanus,100,pelagic,pelagic,mtDNA_RFLPs,1054,3,0,-0.001,0,0.01010101
119,Lutjanidae_Lutjanus_malabaricus,Lutjanus_malabaricus,Lutjanidae,Lutjanus,100,pelagic,pelagic,allozymes,4152,4,0,0.01,0.01,0.020408163
166,Lutjanidae_Pristipomoides_multidens,Pristipomoides_multidens,Lutjanidae,Pristipomoides,90,pelagic,pelagic,mtDNA_RFLPs,2464,3,1,0.055,0.055,0.069518717
22,Monacanthidae_Cantherhines_dumerilii,Cantherhines_dumerilii,Monacanthidae,Cantherhines,38,balistid,pelagic,mtDNA,5411,4,1,0.049,0.049,0.062699256
125,Mullidae_Mulloidichthys_vanicolensis,Mulloidichthys_vanicolensis,Mullidae,Mulloidichthys,38,pelagic,pelagic,mtDNA,7138,4,1,0.139,0.139,0.175088132
142,Ostraciidae_Ostracion_meleagris,Ostracion_meleagris,Ostraciidae,Ostracion,25,pelagic,pelagic,mtDNA,8788,4,1,0.165,0.165,0.212121212
1,Pomacentridae_Abudefduf_saxatilis,Abudefduf_saxatilis,Pomacentridae,Abudefduf,23,demersal,demersal,mtDNA_RFLPs,3038,3,0,-0.011,0,0.01010101
7,Pomacentridae_Amblyglyphidodon_curacao,Amblyglyphidodon_curacao,Pomacentridae,Amblyglyphidodon,11,demersal,demersal,mtDNA,1199,3,0,0.03,0.03,0.041666667
10,Pomacentridae_Amphiprion_melanopus,Amphiprion_melanopus,Pomacentridae,Amphiprion,12,demersal,demersal,mtDNA,7208,4,0,0.75,0.75,3.166666667
12,Pomacentridae_Amphiprion_ocellaris,Amphiprion_ocellaris,Pomacentridae,Amphiprion,11,demersal,demersal,mtDNA,4330,4,1,0.241,0.241,0.335113485
33,Pomacentridae_Chromis_atripectoralis,Chromis_atripectoralis,Pomacentridae,Chromis,12,demersal,demersal,mtDNA,1199,3,0,0.012,0.012,0.022494888
36,Pomacentridae_Chromis_multilineata,Chromis_multilineata,Pomacentridae,Chromis,20,demersal,demersal,mtDNA,9934,4,1,0.6,0.6,1.564102564
39,Pomacentridae_Chromis_xanthura,Chromis_xanthura,Pomacentridae,Chromis,15,demersal,demersal,mtDNA,1107,3,0,0.001,0.001,0.011122346
41,Pomacentridae_Chrysiptera_glauca,Chrysiptera_glauca,Pomacentridae,Chrysiptera,10,demersal,demersal,mtDNA,529,3,0,0.001,0.001,0.011122346
42,Pomacentridae_Chrysiptera_rex,Chrysiptera_rex,Pomacentridae,Chrysiptera,7,demersal,demersal,mtDNA,1199,3,0,0.158,0.158,0.201923077
43,Pomacentridae_Chrysiptera_talboti,Chrysiptera_talboti,Pomacentridae,Chrysiptera,6,demersal,demersal,mtDNA,5306,4,0,0.86,0.86,6.692307692
55,Pomacentridae_Dascyllus_albisella,Dascyllus_albisella,Pomacentridae,Dascyllus,13,demersal,demersal,mtDNA,2529,3,0,0.046,0.046,0.059322034
57,Pomacentridae_Dascyllus_aruanus,Dascyllus_aruanus,Pomacentridae,Dascyllus,10,demersal,demersal,mtDNA,1107,3,0,0.02,0.02,0.030927835
145,Pomacentridae_Parma_microlepis,Parma_microlepis,Pomacentridae,Parma,18,demersal,demersal,microsatellites,155,2,0,0.003,0.003,0.013171226
149,Pomacentridae_Pomacentrus_amboinensis,Pomacentrus_amboinensis,Pomacentridae,Pomacentrus,9,demersal,demersal,mtDNA,1201,3,0,-0.008,0,0.01010101
151,Pomacentridae_Pomacentrus_coelestis,Pomacentrus_coelestis,Pomacentridae,Pomacentrus,9,demersal,demersal,mtDNA,2426,3,0,0.205,0.205,0.27388535
154,Pomacentridae_Pomacentrus_moluccensis,Pomacentrus_moluccensis,Pomacentridae,Pomacentrus,9,demersal,demersal,mtDNA,7143,4,0,0.93,0.93,15.66666667
164,Pomacentridae_Pomacentrus_pavo,Pomacentrus_pavo,Pomacentridae,Pomocentrus,11,demersal,demersal,mtDNA,1107,3,0,-0.009,0,0.01010101
190,Pomacentridae_Stegastes_fasciolatus,Stegastes_fasciolatus,Pomacentridae,Stegastes,15,demersal,demersal,mtDNA,2529,3,0,0.046,0.046,0.059322034
191,Pomacentridae_Stegastes_leucostictus,Stegastes_leucostictus,Pomacentridae,Stegastes,10,demersal,demersal,mtDNA_RFLPs,3038,3,0,0.172,0.172,0.222493888
192,Pomacentridae_Stegastes_nigricans,Stegastes_nigricans,Pomacentridae,Stegastes,14,demersal,demersal,mtDNA,1201,3,0,-0.195,0,0.01010101
195,Pomacentridae_Stegastes_partitus,Stegastes_partitus,Pomacentridae,Stegastes,10,demersal,demersal,microsatellites,2678,3,1,0.003,0.003,0.013171226
103,Priacanthidae_Heteropriacanthus_cruentatus,Heteropriacanthus_cruentatus,Priacanthidae,Heteropriacanthus,51,pelagic,pelagic,mtDNA,8897,4,1,0.254,0.254,0.358695652
175,Sebastidae_Sebastes_auriculatus,Sebastes_auriculatus,Sebastidae,Sebastes,56,viviparous but planktonic larvae,pelagic,allozymes,1949,3,0,0.098,0.098,0.121076233
177,Sebastidae_Sebastes_caurinus,Sebastes_caurinus,Sebastidae,Sebastes,58,viviparous but planktonic larvae,pelagic,microsatellites,2200,3,0,0.004,0.004,0.014198783
179,Sebastidae_Sebastes_macdonaldi,Sebastes_macdonaldi,Sebastidae,Sebastes,66,viviparous but planktonic larvae,pelagic,mtDNA,1637,3,1,0,0,0.01010101
180,Sebastidae_Sebastes_maliger,Sebastes_maliger,Sebastidae,Sebastes,61,viviparous but planktonic larvae,pelagic,allozymes,2449,3,0,0.028,0.028,0.03950104
181,Sebastidae_Sebastes_melanops,Sebastes_melanops,Sebastidae,Sebastes,63,viviparous but planktonic larvae,pelagic,microsatellites,513,3,0,0.018,0.018,0.028806584
182,Sebastidae_Sebastes_rastrelliger,Sebastes_rastrelliger,Sebastidae,Sebastes,56,viviparous but planktonic larvae,pelagic,microsatellites,911,3,0,0.001,0.001,0.011122346
143,SerrSerr_Paralabrax_maculatofasciatus,Paralabrax_maculatofasciatus,Serraninae,Paralabrax,60,pelagic,pelagic,mtDNA,3381,4,1,0.92,0.92,13.28571429
184,Siganidae_Siganus_argenteus,Siganus_argenteus,Siganidae,Siganus,40,pelagic,pelagic,allozymes,1553,3,0,0.015,0.015,0.025641026
185,Siganidae_Siganus_fuscescens,Siganus_fuscescens,Siganidae,Siganus,40,pelagic,pelagic,allozymes,1553,3,0,0.033,0.033,0.044932079
2,Sparidae_Acanthopagrus_latus,Acanthopagrus_latus,Sparidae,Acanthopagrus,50,pelagic,pelagic,mtDNA,1205,3,0,0.472,0.472,0.930501931
117,Sparidae_Lithognathus_mormyrus,Lithognathus_mormyrus,Sparidae,Lithognathus,55,pelagic,pelagic,mtDNA,4713,4,1,0.741,0.741,3.016064257
189,Sparidae_Sparus_aurata,Sparus_aurata,Sparidae,Sparus,70,pelagic,pelagic,microsatellites,3000,3,1,0.036,0.036,0.048218029
205,Stichaeidae_Xiphister_atropurpureus,Xiphister_atropurpureus,Stichaeidae,Xiphister,31,demersal,demersal,mtDNA,2505,3,0,0.417,0.417,0.745200698
206,Stichaeidae_Xiphister_mucosus,Xiphister_mucosus,Stichaeidae,Xiphister,58,demersal,demersal,mtDNA,2632,3,0,0.551,0.551,1.277904328
60,Syngnathidae_Doryrhamphus_excisus,Doryrhamphus_excisus,Syngnathidae,Doryrhamphus,7,no_egg,demersal,mtDNA,10513,4,1,0.921,0.921,13.49275362
16,Tetraodontidae_Arothron_meleagris,Arothron_meleagris,Tetraodontidae,Arothron,50,balistid,pelagic,mtDNA,8649,4,1,0.369,0.369,0.610305958
17,Tripterygiidae_Axoclinus_nigricaudus,Axoclinus_nigricaudus,Tripterygiidae,Axoclinus,5,demersal,demersal,mtDNA,791,3,1,0.448,0.448,0.84501845
204,Tripterygiidae_Tripterygion_delaisi,Tripterygion_delaisi,Tripterygiidae,Tripterygion,9,demersal,demersal,microsatellites,2985,3,1,0.159,0.159,0.203369434
207,Zanclidae_Zanclus_cornutus,Zanclus_cornutus,Zanclidae,Zanclus,23,pelagic,pelagic,mtDNA,8874,4,1,-0.036,0,0.01010101
